ood_type,gamma,J,E,J / indist
IN-DIST,1.0,0.00714264592534164,830.0149955749512,1.0
3peak,1.0,0.06831439584493637,484.5829162597656,9.6
3peak,2.5,0.06756441295146942,487.3012390136719,9.5
jagged,1.0,0.18136483430862427,773.5046997070312,25.4
jagged,2.5,0.1819147914648056,768.2464599609375,25.5
same_sign,1.0,0.09057040512561798,385.91986083984375,12.7
same_sign,2.5,0.0916348546743393,389.2308349609375,12.8
step,1.0,0.11824635416269302,1712.390380859375,16.6
step,2.5,0.11832402646541595,1722.8175048828125,16.6
